what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663214749
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663222483
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663225747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663255739
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544663295811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663323259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663324479
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1544663324489
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663338006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663350966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663351993
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1544663352003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663358645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663363060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544663366438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663390532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663390653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663415630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663415767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544663425930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663432492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663438380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663452132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663452244
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544663464543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663472075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663473586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663478195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1544663478670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663481410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544663482723
