what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1558483487862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558483487909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558483834285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558483841839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558483852880
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1558483852932
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1558483852933
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1558483859998
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1558483860060
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1558483860060
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1558483860062
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1558483861748
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1558483861753
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1558483862147
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1558483862203
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1558483862276
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1558483862309
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1558483862431
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1558483862491
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1558483865924
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1558483865989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558483900677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484164488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484503687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484576593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484697135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484698371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558484698421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558485110301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558485113553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558485113666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558485124759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558490718246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558490718385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558490734826
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558490737508
error,log,,,"Problems saving workspace",1558490740751
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1558490740911
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1558490741234
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1558490741255
